PassengerID,Name,Age,Gender,TrainNo,Source,Destination,Class,TicketPrice,BookingDate,TravelDate,PaymentMode,BookingStatus
1,Ankit,36,Male,12142,Mumbai,Pune,SL,2568,2024-02-27,2024-02-29,Cash,Confirmed
2,Priya,34,Male,12574,Varanasi,Pune,1A,1052,2024-01-16,2024-01-22,Cash,Cancelled
3,Amit,25,Female,12348,Lucknow,Patna,3A,3277,2024-05-22,2024-07-13,NetBanking,Confirmed
4,Rahul,50,Female,12618,Lucknow,Delhi,1A,2346,2024-02-17,2024-03-13,UPI,WL
5,Ankit,51,Male,12721,Mumbai,Delhi,3A,3316,2024-02-10,2024-03-17,NetBanking,Confirmed
6,Rahul,53,Female,12464,Kolkata,Patna,2A,1605,2024-04-29,2024-06-24,Card,Cancelled
7,Rahul,26,Male,12167,Bangalore,Chennai,2A,2771,2024-05-16,2024-06-30,Card,Cancelled
8,Amit,34,Male,12824,Kolkata,Chennai,2A,421,2024-06-15,2024-08-08,Card,Cancelled
9,Suman,55,Female,12146,Lucknow,Patna,3A,3201,2024-06-10,2024-06-24,NetBanking,Cancelled
10,Sneha,56,Female,12224,Patna,Pune,1A,522,2024-10-26,2024-11-23,UPI,Confirmed
11,Neha,59,Male,12394,Chennai,Jaipur,1A,2317,2024-03-19,2024-04-29,NetBanking,Cancelled
12,Rahul,73,Female,12787,Kolkata,Mumbai,2A,1930,2024-01-06,2024-02-19,Card,WL
13,Ankit,69,Male,12519,Mumbai,Lucknow,3A,776,2024-01-02,2024-02-18,NetBanking,Confirmed
14,Karan,5,Female,12500,Delhi,Mumbai,2A,3454,2024-10-03,2024-11-22,NetBanking,Confirmed
15,Sneha,15,Male,12749,Bangalore,Mumbai,3A,675,2024-01-30,2024-02-15,Cash,Cancelled
16,Karan,59,Male,12951,Pune,Varanasi,2A,1784,2024-03-25,2024-04-11,NetBanking,WL
17,Rahul,36,Male,12065,Kolkata,Delhi,3A,2560,2024-09-21,2024-10-20,Card,Confirmed
18,Amit,34,Male,12927,Delhi,Kolkata,SL,2255,2024-02-06,2024-03-23,Card,WL
19,Karan,21,Female,12248,Bangalore,Chennai,3A,536,2024-09-05,2024-09-19,UPI,Cancelled
20,Ravi,57,Female,12884,Delhi,Mumbai,SL,1799,2024-08-08,2024-08-31,NetBanking,Confirmed
21,Priya,73,Female,12143,Chennai,Patna,2A,2044,2024-05-07,2024-05-20,Card,Confirmed
22,Karan,17,Male,12667,Pune,Delhi,SL,3236,2024-08-14,2024-10-05,Card,Confirmed
23,Suman,32,Female,12924,Delhi,Patna,1A,158,2024-07-27,2024-08-28,Cash,WL
24,Ravi,76,Female,12158,Varanasi,Lucknow,3A,389,2024-08-20,2024-09-08,UPI,Cancelled
25,Amit,79,Female,12514,Pune,Patna,SL,2230,2024-06-09,2024-06-13,UPI,Confirmed
26,Rahul,35,Female,12122,Jaipur,Varanasi,SL,2686,2024-02-05,2024-03-15,UPI,WL
27,Karan,45,Female,12209,Kolkata,Varanasi,2A,1771,2024-10-25,2024-12-01,Card,Cancelled
28,Pooja,14,Male,12469,Jaipur,Jaipur,SL,450,2024-06-02,2024-07-02,Card,Cancelled
29,Pooja,13,Male,12378,Lucknow,Patna,1A,2375,2024-05-15,2024-05-24,NetBanking,Cancelled
30,Karan,43,Male,12961,Patna,Lucknow,SL,588,2024-09-27,2024-09-28,Card,WL
31,Priya,48,Male,12703,Lucknow,Pune,1A,1178,2024-05-24,2024-07-02,UPI,Confirmed
32,Ankit,10,Male,12341,Patna,Lucknow,3A,3186,2024-08-04,2024-09-27,Cash,Cancelled
33,Amit,19,Male,12967,Patna,Pune,SL,1662,2024-08-06,2024-09-11,Card,WL
34,Ankit,51,Male,12920,Kolkata,Varanasi,3A,2881,2024-03-06,2024-03-09,UPI,WL
35,Ravi,24,Male,12885,Patna,Patna,1A,251,2024-10-13,2024-12-09,Card,Cancelled
36,Ravi,36,Female,12163,Mumbai,Chennai,SL,2077,2024-06-19,2024-08-09,Card,Confirmed
37,Ankit,34,Male,12024,Varanasi,Chennai,2A,1291,2024-08-23,2024-09-15,UPI,WL
38,Karan,56,Female,12961,Delhi,Mumbai,2A,881,2024-06-28,2024-08-09,NetBanking,Confirmed
39,Ravi,49,Female,12446,Jaipur,Pune,SL,1727,2024-02-25,2024-04-04,Card,WL
40,Ravi,5,Male,12372,Chennai,Mumbai,2A,2702,2024-01-23,2024-03-09,NetBanking,Cancelled
41,Ankit,69,Female,12682,Chennai,Kolkata,1A,3005,2024-03-04,2024-04-20,NetBanking,Cancelled
42,Ravi,53,Male,12630,Jaipur,Lucknow,1A,2394,2024-03-06,2024-03-19,UPI,WL
43,Ravi,79,Female,12476,Bangalore,Bangalore,3A,2243,2024-05-26,2024-06-09,Cash,Cancelled
44,Rahul,41,Female,12095,Varanasi,Lucknow,3A,3453,2024-03-27,2024-05-09,Card,Confirmed
45,Priya,65,Male,12466,Chennai,Jaipur,3A,3092,2024-01-13,2024-01-16,Cash,WL
46,Neha,5,Male,12797,Chennai,Varanasi,3A,3443,2024-07-23,2024-08-08,Cash,Confirmed
47,Rahul,63,Male,12820,Bangalore,Pune,2A,3243,2024-10-12,2024-10-28,Cash,Cancelled
48,Karan,62,Male,12761,Bangalore,Bangalore,2A,3229,2024-09-15,2024-10-13,Card,Cancelled
49,Karan,67,Male,12281,Bangalore,Mumbai,2A,1110,2024-05-21,2024-07-10,NetBanking,WL
50,Karan,15,Male,12154,Varanasi,Chennai,3A,3043,2024-06-12,2024-08-09,Card,Confirmed
51,Pooja,74,Female,12425,Delhi,Varanasi,1A,1745,2024-07-31,2024-08-27,UPI,Cancelled
52,Amit,50,Female,12771,Chennai,Chennai,3A,2149,2024-07-13,2024-08-13,Card,WL
